retailer,source,name,price_text,price_eur,pack_count,price_per_egg,eu_code,production_label,classify_source,is_shell_egg,cage_free,note,error
Rimi,rimi_html,Olas Rimi Smart A/M Nr.3 sprostos dēt. 10gab.,1.99 EUR,1.99,10,0.199,3,caged,egg_code_number,true,false,,
Rimi,rimi_html,Olas Balticovo brīv.vis.A/LM Nr.1 10gab.,4.59 EUR,4.59,10,0.459,1,free-range,egg_code_number,true,true,,
Rimi,rimi_html,"Olas Rimi Iecavas kūtī dētas A/L No.2,10 gab.",3.29 EUR,3.29,10,0.329,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas Zemnieku A/LM Nr.2 10gab.,3.29 EUR,3.29,10,0.329,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas Rimi kūtī dētas A/M Nr.2 15 gab.,3.99 EUR,3.99,15,0.266,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas Rimi kūtī dētas A/S No.2 10 gab.,2.39 EUR,2.39,10,0.239,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olu baltums Balticovo Premium 500g,1.69 EUR,1.69,,,,unknown,unknown,false,,,
Rimi,rimi_html,Olas Rimi Eco A/LMS Nr.0 10 gab.,3.99 EUR,3.99,10,0.399,0,organic,egg_code_number,true,true,,
Rimi,rimi_html,Paipalu olas Rimi 18gab.,2.39 EUR,2.39,18,0.1328,,unknown,unknown,false,,,
Rimi,rimi_html,Olas Rimi Smart kūtī dētas A/M Nr.2 10gab.,2.59 EUR,2.59,10,0.259,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas Rimi A/ML Nr.1 10gab.,2.99 EUR,2.99,10,0.299,1,free-range,egg_code_number,true,true,,
Rimi,rimi_html,Olas Sprīdīši A/ML Nr.1 10 gab.,4.99 EUR,4.99,10,0.499,1,free-range,egg_code_number,true,true,,
Rimi,rimi_html,Olas Rimi kūtī dētas A/L Nr.2 10 gab.,3.29 EUR,3.29,10,0.329,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas Balticovo kūtī dēt. A/L Nr.2 10gab.,4.49 EUR,4.49,10,0.449,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas Oluksne kūtī dētas A/LM Nr.2 10gab.,4.39 EUR,4.39,10,0.439,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas kūtī dētas A/LM Nr.2 10 gab,4.49 EUR,4.49,10,0.449,2,barn,egg_code_number,true,true,,
Rimi,rimi_html,Olas brīvos apstākļos dētas A/LMS Nr.1 10 gb.,4.49 EUR,4.49,10,0.449,1,free-range,egg_code_number,true,true,,
Barbora,barbora_html,Kūtī dētas olas BALTICOVO Latvijas A L/M 12gab.,2.99 EUR,2.99,12,0.2492,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas WELL DONE M izm.10gab.,2.79 EUR,2.79,10,0.279,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Vistu olu baltums BALTICOVO 500g,1.99 EUR,1.99,,,,unknown,unknown,false,,,
Barbora,barbora_html,Kūtī dētas olas WELL DONE L izm.10gab.,2.59 EUR,2.59,10,0.259,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Paipalu olas WELL DONE 18gab.,2.39 EUR,2.39,18,0.1328,,unknown,unknown,false,,,
Barbora,barbora_html,Paipalu olas WELL DONE 12gab.,1.59 EUR,1.59,12,0.1325,,unknown,unknown,false,,,
Barbora,barbora_html,Olas BALTICOVO Bio A 6gab.,3.39 EUR,3.39,6,0.565,0,organic,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas CHICK GAME 10gab.,4.49 EUR,4.49,10,0.449,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas 10gab.,1.99 EUR,1.99,10,0.199,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas WELL DONE 10gab.,2.89 EUR,2.89,10,0.289,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Brīvi turētu vistu olas WELL DONE 10gab.,3.89 EUR,3.89,10,0.389,1,free-range,name_keyword,true,true,,
Barbora,barbora_html,Vistu olas WELL DONE Eco M 10gab.,3.99 EUR,3.99,10,0.399,0,organic,name_keyword,true,true,,
top!,external_only,,,,,,,n/a,n/a,,,top! (etop.lv) online catalogue is an Angular SPA behind a /v1 JSON API; egg listings not machine-retrievable in this pass. No listing-level data captured.,
Lidl,external_only,,,,,,,n/a,n/a,,,Lidl Latvia (lidl.lv) has no online grocery store (marketing/flyer site only); no online shell-egg listings.,
Mego,external_only,,,,,,,n/a,n/a,,,Mego (mego.lv) has no online store (informational site only); no egg catalogue.,
Elvi,external_only,,,,,,,n/a,n/a,,,Elvi (elvi.lv) eggs page lists no shoppable products (WordPress promo/catalogue site); no listing-level data.,
