retailer,source,name,price_text,price_eur,pack_count,price_per_egg,eu_code,production_label,classify_source,is_shell_egg,cage_free,note,error
Rimi,rimi_html,Olas Rimi Smart A/M Nr.3 sprostos dēt. 10gab.,1.84 EUR,1.84,10,0.184,3,caged,name_keyword,true,false,,
Rimi,rimi_html,Olas Rimi kūtī dētas A/M Nr.2 15 gab.,4.25 EUR,4.25,15,0.2833,2,barn,name_keyword,true,true,,
Rimi,rimi_html,Olas Rimi Eco A/LMS Nr.0 10 gab.,3.39 EUR,3.39,10,0.339,0,organic,name_keyword,true,true,,
Rimi,rimi_html,Olas Balticovo brīv.vis.A/LM Nr.1 10gab.,4.25 EUR,4.25,10,0.425,1,free-range,name_keyword,true,true,,
Rimi,rimi_html,Olas Rimi kūtī dētas A/S No.2 10 gab.,1.89 EUR,1.89,10,0.189,2,barn,name_keyword,true,true,,
Rimi,rimi_html,Olu baltums Balticovo Premium 500g,1.99 EUR,1.99,,,,unknown,unknown,false,,,
Rimi,rimi_html,Olas Rimi Smart kūtī dētas A/M Nr.2 10gab.,2.4 EUR,2.4,10,0.24,2,barn,name_keyword,true,true,,
Rimi,rimi_html,Paipalu olas Rimi 18gab.,2.09 EUR,2.09,18,0.1161,,unknown,unknown,false,,,
Rimi,rimi_html,Olas Rimi kūtī dētas A/L Nr.2 10 gab.,2.55 EUR,2.55,10,0.255,2,barn,name_keyword,true,true,,
Rimi,rimi_html,Olas Sprīdīši A/ML Nr.1 10 gab.,3.99 EUR,3.99,10,0.399,1,free-range,egg_code_number,true,true,,
Rimi,rimi_html,Olas Balticovo kūtī dēt. A/L Nr.2 10gab.,4.16 EUR,4.16,10,0.416,2,barn,name_keyword,true,true,,
Rimi,rimi_html,Olas Oluksne kūtī dētas A/LM Nr.2 10gab.,2.99 EUR,2.99,10,0.299,2,barn,name_keyword,true,true,,
Rimi,rimi_html,Olas kūtī dētas A/LM Nr.2 10 gab,2.99 EUR,2.99,10,0.299,2,barn,name_keyword,true,true,,
Rimi,rimi_html,"Olas Rimi Iecavas kūtī dētas A/L No.2,10 gab.",2.29 EUR,2.29,10,0.229,2,barn,name_keyword,true,true,,
Rimi,rimi_html,Olas brīvos apstākļos dētas A/LMS Nr.1 10 gb.,3.99 EUR,3.99,10,0.399,1,free-range,name_keyword,true,true,,
Rimi,rimi_html,Olas Rimi A/ML Nr.1 10gab.,2.99 EUR,2.99,10,0.299,1,free-range,egg_code_number,true,true,,
Barbora,barbora_html,Kūtī dētas olas 10gab.,1.84 EUR,1.84,10,0.184,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas BALTICOVO Latvijas A L/M 12gab.,2.77 EUR,2.77,12,0.2308,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas WELL DONE L izm.10gab.,2.55 EUR,2.55,10,0.255,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas WELL DONE 10gab.,2.49 EUR,2.49,10,0.249,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas WELL DONE M izm.10gab.,2.39 EUR,2.39,10,0.239,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Vistu olu baltums BALTICOVO 500g,1.39 EUR,1.39,,,,unknown,unknown,false,,,
Barbora,barbora_html,Kūtī dētas olas ZEMNIEKU A kategorija 10gab.,2.69 EUR,2.69,10,0.269,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas BALTICOVO 10gab.,1.65 EUR,1.65,10,0.165,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas BALTICOVO Lielās Brokastu 10gab.,2.79 EUR,2.79,10,0.279,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Kūtī dētas olas BALTICOVO S izm. 10gab.,1.89 EUR,1.89,10,0.189,2,barn,name_keyword,true,true,,
Barbora,barbora_html,Brīvi turētu vistu olas WELL DONE 10gab.,2.69 EUR,2.69,10,0.269,1,free-range,name_keyword,true,true,,
Barbora,barbora_html,Paipalu olas WELL DONE 18gab.,2.09 EUR,2.09,18,0.1161,,unknown,unknown,false,,,
Barbora,barbora_html,Vistu olas WELL DONE Eco M 10gab.,3.19 EUR,3.19,10,0.319,0,organic,name_keyword,true,true,,
Barbora,barbora_html,Paipalu olas WELL DONE 12gab.,1.39 EUR,1.39,12,0.1158,,unknown,unknown,false,,,
Barbora,barbora_html,Kūtī dētas olas CHICK GAME 10gab.,2.79 EUR,2.79,10,0.279,2,barn,name_keyword,true,true,,
top!,external_only,,,,,,,n/a,n/a,,,"top! (etop.lv) is TOP's own-brand (TIP TOP) showcase, not a full online grocery: the eggs section has only one own-brand product (TIP TOP barn eggs, EU code 2, about 0.30 EUR/egg), so it is not comparable to a full assortment and is excluded.",
Lidl,,,,,,,,n/a,n/a,,,,Lidl: no egg products in search results (assortment gap or API/filter change)
Mego,external_only,,,,,,,n/a,n/a,,,Mego (mego.lv) has no online store (informational site only); no egg catalogue.,
Elvi,external_only,,,,,,,n/a,n/a,,,Elvi (elvi.lv) eggs page lists no shoppable products (WordPress promo/catalogue site); no listing-level data.,
